place_id,district_id,guide_id
4,2,1
4,2,2
4,2,3
42,14,4
42,14,5
42,14,6
42,14,7
42,14,8
42,14,9
42,14,10
42,14,11
42,14,12
42,14,13
42,14,14
42,14,15
42,14,16
42,14,17
42,14,18
42,14,19
42,14,20
42,14,21
42,14,22
42,14,23
42,14,24
42,14,25
42,14,26
42,14,27
42,14,28
42,14,29
42,14,30
42,14,31
42,14,32
42,14,33
42,14,34
42,14,35
42,14,36
42,14,37
42,14,38
42,14,39
42,14,40
42,14,41
42,14,42
42,14,43
42,14,44
42,14,45
42,14,46
42,14,47
42,14,48
42,14,49
42,14,50
42,14,51
42,14,52
42,14,53
42,14,54
42,14,55
42,14,56
42,14,57
42,14,58
42,14,59
42,14,60
42,14,61
42,14,62
42,14,63
42,14,64
42,14,65
42,14,66
42,14,67
42,14,68
42,14,69
42,14,70
42,14,71
42,14,72
42,14,73
42,14,74
42,14,75
42,14,76
42,14,77
42,14,78
42,14,79
42,14,80
42,14,81
42,14,82
42,14,83
42,14,84
42,14,85
42,14,86
42,14,87
42,14,88
42,14,89
42,14,90
42,14,91
42,14,92
42,14,93
42,14,94
42,14,95
42,14,96
42,14,97
42,14,98
42,14,99
42,14,100
42,14,101
42,14,102
42,14,103
42,14,104
42,14,105
42,14,106
42,14,107
42,14,108
42,14,109
42,14,110
42,14,111
42,14,112
42,14,113
42,14,114
42,14,115
42,14,116
42,14,117
84,28,118
84,28,119
84,28,120
84,28,121
84,28,122
84,28,123
84,28,124
84,28,125
84,28,126
84,28,127
84,28,128
84,28,129
84,28,130
84,28,131
84,28,132
